INFO 2021-12-08 18:06:14,845 - 127.0.0.1 - - [08/Dec/2021 18:06:14] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-08 18:06:24,991 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-08 18:06:24,992 - 127.0.0.1 - - [08/Dec/2021 18:06:24] "GET /index?update=18%3A07&two=Final+Test%3F&covid-data=covid-data HTTP/1.1" 200 -
INFO 2021-12-08 18:06:25,035 - 127.0.0.1 - - [08/Dec/2021 18:06:25] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-08 18:07:25,076 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-08 18:07:25,076 - covid_data_handling.schedule_covid_updates: Calculating seconds
INFO 2021-12-08 18:07:25,076 - covid_dashboard.execute_update: Executing scheduled update
INFO 2021-12-08 18:07:25,076 - covid_data_handling.covid_api_request: Fetching Covid API
INFO 2021-12-08 18:07:25,446 - covid_data_handling.covid_api_request: Fetching Covid API
INFO 2021-12-08 18:07:25,881 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-08 18:07:25,881 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-08 18:07:25,883 - 127.0.0.1 - - [08/Dec/2021 18:07:25] "GET /index HTTP/1.1" 200 -
INFO 2021-12-08 18:07:25,915 - 127.0.0.1 - - [08/Dec/2021 18:07:25] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-08 18:08:25,950 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-08 18:08:25,952 - 127.0.0.1 - - [08/Dec/2021 18:08:25] "GET /index HTTP/1.1" 200 -
INFO 2021-12-08 18:08:25,973 - 127.0.0.1 - - [08/Dec/2021 18:08:25] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-08 18:09:25,995 - covid_dashboard.index: Rendering dashboard
INFO 2021-12-08 18:09:25,997 - 127.0.0.1 - - [08/Dec/2021 18:09:25] "GET /index HTTP/1.1" 200 -
INFO 2021-12-08 18:09:26,014 - 127.0.0.1 - - [08/Dec/2021 18:09:26] "[36mGET /static/images/Nurgle.png HTTP/1.1[0m" 304 -
INFO 2021-12-09 12:05:06,276 - covid_data_handling.covid_api_request: Fetching Covid API
INFO 2021-12-09 12:05:06,663 - covid_data_handling.covid_api_request: Fetching Covid API
INFO 2021-12-09 12:05:07,959 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-09 12:05:07,960 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-09 12:05:27,054 - covid_data_handling.covid_api_request: Fetching Covid API
INFO 2021-12-09 12:05:27,291 - covid_data_handling.covid_api_request: Fetching Covid API
INFO 2021-12-09 12:05:27,499 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-09 12:05:27,499 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-09 12:05:27,500 - covid_data_handling.process_csv_data: Calculating statistics
INFO 2021-12-09 12:11:20,108 -  * Restarting with stat
WARNING 2021-12-09 12:11:20,581 -  * Debugger is active!
